sep=,
naziv,naslov_natjecaja,url,kategorija,iznos,iznos_je_fond,rok_tekst,uvjeti,upute_za_prijavu,napomena,poveznica_natjecaj,status,zadnje_provjereno
OIV — stipendije,,https://www.oiv.hr/hr/karijera/stipendije/,Tvrtka,,False,,,,,,NEMA AKTIVNOG NATJEČAJA (opća stranica),2026-09-26T11:32
Fina — prilike za studente (stipendije),,https://www.fina.hr/karijere/prilike-za-studente,Tvrtka,,False,,,,,,NEMA AKTIVNOG NATJEČAJA (opća stranica),2026-09-26T11:32
HOPS — vijesti i natječaji za stipendije,,https://www.hops.hr/vijesti,Tvrtka,,False,,,,,,NEMA AKTIVNOG NATJEČAJA (opća stranica),2026-09-26T11:32
"EFZG Karijere — stipendije, prakse i poslovi",,https://www.efzg.unizg.hr/za-studente-29717/stipendije-prakse-i-poslovi/29745,Agregator,,False,,,,,,NEMA AKTIVNOG NATJEČAJA (opća stranica),2026-09-26T11:32
FOI — centar za podršku studentima i razvoj karijera,,https://cpsrk.foi.hr/,Agregator,,False,,,,,,NEMA AKTIVNOG NATJEČAJA (opća stranica),2026-09-26T11:32
TVZ — obavijesti o stipendijama,Stipendije Europski Forum Alpbach 2026,https://www.tvz.hr/?s=stipendij,Agregator,,False,2. do 22. ožujka,"Mlade u dobi između 18 i 30 godina koji su prvi put stipendisti, aktivno služe engleskim jezikom (B2 razina) i dostupni su za minimalno 8 dana boravka.",Motivacijsko pismo odgovarajući na pitanje o tome kako Europa može pobijediti | Informacije iz životopisa | Dokaz o poznavanju engleskog jezika (B2 razina) | Posljednja stečena diploma ili prijepis ocjena,"Za kandidate iz Hrvatske provodi se dodatni online intervju. Organizatorna će provesti dva online Q&A sesije (04. ožujka u 17:30 i 17. ožujka u 9:30). Dodjeljuje se oko 350 stipendija. Forum se održava od 24. kolovoza do 4. rujna 2026. u Tirolu, Austrija.",https://www.tvz.hr/medunarodna-konferencija-stipendije-europski-forum-alpbach-24-8-04-9-2026/,PROVJERITI RUČNO (rok nije jasno parsiran),2026-09-26T11:32
MZO — stipendije i boravci u inozemstvu,Stipendija za istraživanje doktorskoga rada u Kanadi,https://mzom.gov.hr/istaknute-teme/medjunarodna-suradnja-i-eu/stipendije-i-boravci-u-inozemstvu/684,Međunarodno,"27.600,00 CAD, 8 mjeseci",False,15. travnja 2025.,"Hrvatski državljani upisani na poslijediplomski studij na hrvatskom sveučilištu pred izradu doktorskoga rada, iz humanističkih, društvenih znanosti ili umjetničkog područja. Tečno знање engleskog jezika obavezno.","Pripremite opis istraživačkog projekta (max 500 riječi) na engleskom, životopis i imena dvoje preporučitelja | Kreirajte jedan PDF dokument s imenima i drzavom | Pošaljite e-poštom Dr. Alexander Carpenteru i Mariji Crnić do roka","Iznos je u CAD, ne EUR. Boravak 8 mjeseci (1. listopada 2025. - 31. svibnja 2026.). Očekuje se aktivno uključivanje u institutskoiske i kulturne aktivnosti te suradnja s lokalnom hrvatskom zajednicom.",https://mzom.gov.hr/stipendija-za-istrazivanje-u-sklopu-izrade-doktorskoga-rada-na-institutu-wirth-za-austrijske-i-srednjoeuropske-studije-sveucilista-alberta-u-edmontonu-kanada-u-akademskoj-godini-2025-2026-6887/6887,ROK ISTEKAO (2025-04-15) — čeka se novi ciklus,2026-09-26T11:33
DAAD — stipendije za studij u Njemačkoj,Stipendije DAAD-a,https://zagreb.diplo.de/hr-hr/themen/kultur/daad/2100844,Međunarodno,,False,,"Namijenjeni hrvatskim studentima, doktorandima, poslijedoktorandima, mladim znanstvenicima i sveučilišnim nastavnicima. Projekti na njemačkom ili engleskom jeziku.",Prijava putem portala https://portal.daad.de | Provjera rokova za odgovarajuću stipendiju u bazi DAAD-a | Kontakt s DAAD lektoricama u Hrvatskoj,Stranica navodi više različitih stipendijskih programa bez konkretnih rokova prijave. Rokove trebate provjeriti u bazi stipendija DAAD-a na portal.daad.de. Nema iznosa niti datuma otvorenih natječaja.,,NEMA AKTIVNOG NATJEČAJA (opća stranica),2026-09-26T11:33
HNB — stipendiranje studenata,,https://www.hnb.hr/o-nama/karijera/stipendiranje,Tvrtka,,False,,,,,,NEMA AKTIVNOG NATJEČAJA (opća stranica),2026-09-26T11:33
Grad Buzet — stipendije,,https://www.buzet.hr/natjecaji,Grad,,False,,,,,,NEMA AKTIVNOG NATJEČAJA (opća stranica),2026-09-26T11:33
Grad Cres — stipendije,,https://www.cres.hr/sluzbene-informacije/natjecaji/,Grad,,False,,,,,,NEMA AKTIVNOG NATJEČAJA (opća stranica),2026-09-26T11:33
Grad Donji Miholjac — stipendije,Stipendije za studente akademska godina 2025./2026,https://donjimiholjac.hr/natjecaji,Grad,,False,28. siječnja 2026. godine,,,Tekst natječaja sa obrascima nalazi se u rubrici NATJEČAJI na službenoj internetskoj stranici Grada Donjeg Miholjca.,,ROK ISTEKAO (2026-01-28) — čeka se novi ciklus,2026-09-26T11:33
Grad Đurđevac — stipendije,Studentske stipendije akademske godine 2021./2022,https://djurdjevac.hr/stipendije/,Grad,"50,00 kn po ECTS bodovima, max 3.000,00 kuna; 100,00 kuna po ECTS bodovima, max 6.000,00 kuna",False,do 05. studenog 2021. godine,"Redovni studenti s područja Grada Đurđevca koji studiraju na preddiplomskom i diplomskom studiju na području Republike Hrvatske i imaju prebivalište na području Grada Đurđevca, te redovni i izvanredni studenti preddiplomskog stručnog studija računarstva i informatike u Đurđevcu.","Preuzmi obrazac prijave | Priloži potvrdu o upisu i prijepisom ocjena | Priloži presliku osobne iskaznice | Podnesi pisanim putem na adresu Grad Đurđevac, Stjepana Radića 1, 48 350 Đurđevac ili e-mailom grad@djurdjevac.hr",Stipendija se dodjeljuje za jednu akademsku godinu. Student je obvezan vratiti stipendiju ako prekine studij ili ga ne završi u redovnom roku (50% iznosa). Isplata se vrši na temelju potvrde o položenim ispitima i ostvarenim ECTS bodovima.,https://djurdjevac.hr/javna-nabava-i-natjecaji/natjecaji/natjecaj-za-dodjelu-studentskih-stipendija-u-akademskoj-godini-2021-2022/,ROK ISTEKAO (2021-11-05) — čeka se novi ciklus,2026-09-26T11:33
Grad Kraljevica — stipendije,Nagrade i stipendije učenicima i studentima,https://www.kraljevica.hr/javni-pozivi/,Grad,,False,do 12.10.2026.,Natječaj za dodjelu stipendija učenicima i studentima za školsku-akademsku godinu 2026./2027.,,Natječaj obuhvaća dvije vrste: nagrade za uspjeh u školskoj godini 2025./2026. i stipendije za godinu 2026./2027. Detalji su dostupni u priloženim dokumentima (Natječaj stipendije 2026. i Obrazac-stipendije 2026.).,https://www.kraljevica.hr/raspisan-natjecaj-za-dodjelu-nagrada-i-stipendija-ucenicima-i-studentima-3/,OTVORENO (rok 2026-10-12),2026-09-26T11:33
Grad Lipik — stipendije,,https://lipik.hr/natjecaji-i-javni-pozivi/,Grad,,False,,,,,,NEMA AKTIVNOG NATJEČAJA (opća stranica),2026-09-26T11:33
Grad Mursko Središće — stipendije,Stipendije studentski krediti 2026./2027,https://mursko-sredisce.hr/stipendije/,Grad,,False,2. 10. 2026. u 23:59,"Studenti redovnog upisa na visokom učilištu, sa zahtjevima vezan na dohodak kućanstva i druge kriterije definirane Pravilnikom o studentskim kreditima.","Ispuniti obrazac s osobnim podacima | Unijeti podatke o studiju i učilištu | Dodati podatke o jamcu | Potpisati izjavu | Učitati potrebne dokumente (osobna iskaznica, potvrda prebivališta, potvrda upisa, dohodovni dokazi) | Dati privole za GDPR i Pravilnik",Ovo je formularski prikaz prijave za studentske kredite. Iznos kredita nije naveden na stranici. Potrebna je potvrda visokog učilišta i dohodovni dokazi za sve članove kućanstva.,,OTVORENO — rok za 6 dana (2026-10-02),2026-09-26T11:33
Grad Oroslavje — stipendije,,https://oroslavje.hr/stipendije/,Grad,,False,,,,Stranica je arhivska popis odluka i dokumenata za više godina. Nema jasnog trenutnog otvorenog natječaja s rokom prijave. Za natječaj 2025./2026. navodi se samo naslov dokumenata bez rok prijave na samoj stranici.,,NEMA AKTIVNOG NATJEČAJA (opća stranica),2026-09-26T11:34
Grad Pleternica — stipendije,Stipendije studentima Grada Pleternice,https://pleternica.hr/natjecaji/,Grad,"100,00 eura",False,8. prosinca 2025. godine,"Studenti državljani Republike Hrvatske sa stalnim prebivalištem na području Grada Pleternice najmanje 6 mjeseci prije podnošenja zahtjeva, koji studiraju izvan područja Požesko-slavonske županije, nemaju odobreni kredit ili druge stipendije, i imaju status redovitog studenta.","Registracija u sustavu ePrijave | Unos podataka o podnositelju i odabir natječaja | Popunjavanje prijave i učitavanje skenirane dokumentacije (.pdf i .jpeg) | Zaključivanje prijave klikom na gumb ""Zaključi prijavu"" | Ispis izvezene prijave, potpisivanje i dostava na adresu Grad Pleternica, Povjerenstvo za dodjelu stipendija, Trg hrvatskih branitelja 1, 34310 Pleternica","Natječaj je za akademsku godinu 2025./2026. Dodjeljuje se 13 stipendija. Sva dokumentacija mora biti starija od tri mjeseca od dana raspisivanja natječaja. Dokumentacija se učitava kroz sustav ePrijave, nije potrebna u tiskanom obliku.",https://pleternica.hr/natjecaji/javni-natjecaj-za-dodjelu-stipendija-studentima-s-podrucja-grada-pleternice-za-akademsku-godinu-2025-2026/,ROK ISTEKAO (2025-12-08) — čeka se novi ciklus,2026-09-26T11:34
Grad Ploče — stipendije,Stipendije za 2025.-2026,https://ploce.hr/stipendije/,Grad,,False,,"Stipendije za studente s područja Grada Ploča za akademsku godinu 2025./2026., te za učenike i studente s invaliditetom s područja Grada Ploča za akademsku godinu 2025./2026.",Preuzmi Javni natječaj | Preuzmi Prijavni obrazac | Slijedi Upute za podnošenje prijave | Preuzmi Izjavu o članovima zajedničkog kućanstva | Podnesi prijavu,"Ovo je stranica s linkom na natječaj, ali detaljni tekst natječaja nije priložen. Dostupni su samo linkovi na dokumente (Javni natječaj, Prijavni obrazac, Upute). Rok prijave i iznos stipendije nisu navedeni na ovoj stranici.",https://ploce.hr/2025/11/24/stipendije-za-2025-2026/,PROVJERITI RUČNO (rok nije jasno parsiran),2026-09-26T11:34
Grad Pregrada — stipendije,,https://www.pregrada.hr/stipendije,Grad,,False,,,,,,NEMA AKTIVNOG NATJEČAJA (opća stranica),2026-09-26T11:35
Grad Rovinj — stipendije,Sussidi agli alunni e studenti,https://www.rovinj-rovigno.hr/stipendije/,Grad,,False,,"Alunni e studenti meno abbienti, nonché studenti che si abilitano a professioni deficitarie, della Città di Rovinj-Rovigno.",,Tekst je na talijanskom jeziku i sadrži samo naslove dokumenata natječaja bez konkretnih iznosa i rokova.,https://www.rovinj-rovigno.hr/it/educazione-e-istruzione/hrvatski-stipendije/,PROVJERITI RUČNO (rok nije jasno parsiran),2026-09-26T11:35
Grad Vrlika — stipendije,,https://vrlika.hr/stipendije-studentima/,Grad,,False,,,,,,NEMA AKTIVNOG NATJEČAJA (opća stranica),2026-09-26T11:35
Grad Županja — stipendije,Stipendije Grada Županja,https://zupanja.hr/stipendije-grada-zupanja/,Grad,,False,14. studenog 2025. godine,,Registrirajte se u SOM Natječaj aplikaciji | Odaberite natječaj iz popisa | Popunite sva obavezna polja označena crvenom zvjezdicom | Učitajte potrebne dokumente | Pošalite prijavu,"Potrebni su popunjeni dokumenti: izjava da ne prima drugu stipendiju, suglasnost za korištenje osobnih podataka, izjava o obiteljskom statusu, izjava o broju članova. Iznosі stipendija su dostupni u priloženim PDF-ovima (Odluka o visini stipendije I godina i Odluka o visini stipendije više godine studija).",,ROK ISTEKAO (2025-11-14) — čeka se novi ciklus,2026-09-26T11:35
